Base UPC,UPC Desc,FT Commodity,UPC Width (in)
93283,APPLES HNYCRSP 1/2CTN ORG     ,600 APPLES                        ,3.5
4132,APPLES GALA SML               ,600 APPLES                        ,3
4087,TOMATOES ROMA                 ,617 TOMATOES                      ,5.9
3338391098,POTATOES YUKON ORGNC          ,618 POTATOES                      ,5
4015,APPLES RED DELICIOUS SML      ,600 APPLES                        ,3
1111018219,KRO POTATOES SWEET TRAY       ,618 POTATOES                      ,10
4016,APPLES RED DELICIOUS LRG      ,600 APPLES                        ,3.5
1111069103,STO GRANNY SMTH POUCH BAG     ,600 APPLES                        ,5
4017,APPLES GRAN SMTH EURO LRG     ,600 APPLES                        ,3.5
75166610305,NTSW TOMATOES GLORY           ,617 TOMATOES                      ,5
1111091687,TOMATOES CAMPARI RPC          ,617 TOMATOES                      ,5.55
1111000876,STO BASIL                     ,614 HERBS/GARLIC                  ,6
4011,BANANAS                       ,620 BANANAS                       ,5
4139,APPLES GRAN SM EURO SML       ,600 APPLES                        ,2.5
1111091068,STO TOMATOES GRP RPC ORG      ,617 TOMATOES                      ,5.05
4416,PEARS ANJOU GREEN EURO        ,601 PEARS                         ,3
1111091845,KRO POTATOES RSST JMB BIN     ,618 POTATOES                      ,12
4082,ONIONS RED BULK BOX           ,619 ONIONS                        ,3
4046,AVOCADOS HASS MED(70 S)       ,606 TROPICAL FRUIT                ,2.5
1111018174,KRO PEACHES POUCH BAG RPC     ,605 STONE FRUIT                   ,4
1111018175,KRO PLUMS POUCH BAG RPC       ,605 STONE FRUIT                   ,4
3423,TOMATOES HEIRLOOM VAR PK      ,617 TOMATOES                      ,3
3616,APPLES ENVY EURO              ,600 APPLES                        ,2.75
94225,AVOCAD HASS LG TP ORG RPC     ,606 TROPICAL FRUIT                ,3
4801,TOMATILLOS                    ,617 TOMATOES                      ,1.5
1111000219,STO TOMATOES ROMA CLMSHL      ,617 TOMATOES                      ,7
1111000220,PRSL TOMATO CHRY OTV CLM      ,617 TOMATOES                      ,7.5
1111069106,STO HONEYCRISP POUCH BAG      ,600 APPLES                        ,5
1111018195,KRO GRAPEFRUIT RED BAG        ,602 CITRUS                        ,13
94082,ONIONS ORGANIC RED            ,619 ONIONS                        ,3
75166677155,NTSW TOMATOES CHERUB CLM      ,617 TOMATOES                      ,5
1111091760,POTATOES RUSSET               ,618 POTATOES                      ,3
4664,TOMATOES BUNCHED              ,617 TOMATOES                      ,2.5
4074,YAMS - RED GARNET             ,618 POTATOES                      ,3
1111091778,STO POTATOES RUSST ORGNC      ,618 POTATOES                      ,10
4959,MANGOES RED LG                ,606 TROPICAL FRUIT                ,3
1111091825,KRO APPLES GALA WAXF          ,600 APPLES                        ,7
1111091686,TOMATOES GRAPE SWEET          ,617 TOMATOES                      ,5
4662,ONIONS SHALLOTS               ,619 ONIONS                        ,2
